Date,s-index,Total,s-index+nobot,Total+nobot
2005-12,288,501131,288,501131
2006-01,301,559304,301,559304
2006-02,320,624972,320,624972
2006-03,341,697973,341,697973
2006-04,361,775741,361,775741
2006-05,375,859252,375,859252
2006-06,391,933505,391,933505
2006-07,399,1001106,399,1001106
2006-08,408,1088997,408,1088997
2006-09,422,1147853,422,1147853
2006-10,420,1237998,420,1237998
2006-11,424,1319520,424,1319520
2006-12,426,1384513,426,1384513
2007-01,441,1468170,441,1468170
2007-02,449,1563704,449,1563704
2007-03,467,1636429,467,1636429
2007-04,478,1708852,478,1708852
2007-05,487,1794261,487,1794261
2007-06,495,1854117,495,1854117
2007-07,507,1930110,507,1930110
2007-08,502,1971155,502,1971155
2007-09,508,2040848,508,2040848
2007-10,514,2066018,513,2065492
2007-11,521,2136424,520,2135288
2007-12,517,2209073,516,2207515
2008-01,508,2211033,507,2209397
2008-02,508,2212879,508,2210994
2008-03,498,2204558,498,2202497
2008-04,501,2206918,500,2204580
2008-05,490,2154089,489,2151703
2008-06,477,2110417,476,2107947
2008-07,474,2124272,473,2121679
2008-08,468,2069413,467,2066795
2008-09,462,1989441,461,1986527
2008-10,458,1922757,457,1918890
2008-11,445,1817039,443,1812993
2008-12,438,1802365,436,1798239
2009-01,435,1986063,433,1979618
2009-02,433,2119533,431,2105725
2009-03,433,2118959,430,2096064
2009-04,434,2067919,431,2028626
2009-05,423,2030795,420,1977982
2009-06,418,2026881,414,1959544
2009-07,414,1930188,410,1859758
2009-08,411,1903544,406,1832132
2009-09,405,1889865,399,1816760
2009-10,398,1870950,391,1783667
2009-11,391,1853552,387,1756272
2009-12,387,1760250,383,1649529
2010-01,379,1529041,375,1403597
2010-02,377,1321474,371,1189678
2010-03,374,1308538,369,1165661
2010-04,372,1279996,368,1143314
2010-05,370,1280476,365,1145236
2010-06,365,1269033,357,1135421
2010-07,360,1270127,353,1129233
2010-08,361,1270573,356,1121940
2010-09,351,1277430,346,1118981
2010-10,349,1263674,345,1106163
2010-11,349,1261470,344,1100893
2010-12,350,1250909,345,1095412
2011-01,345,1254623,338,1097417
2011-02,342,1259891,333,1098484
2011-03,336,1208308,329,1048028
2011-04,330,1192443,324,1031785
2011-05,324,1181745,319,1022600
2011-06,321,1168927,317,1008374
2011-07,322,1172886,318,1006749
2011-08,318,1207547,311,1012293
2011-09,314,1228448,308,1002151
2011-10,312,1273157,306,1027079
2011-11,305,1285357,301,1021371
2011-12,308,1351360,302,1080089
2012-01,303,1361636,298,1093788
2012-02,300,1327987,294,1067552
2012-03,294,1317729,288,1060548
2012-04,294,1316944,288,1059397
2012-05,290,1310396,286,1051100
2012-06,289,1290857,283,1035058
2012-07,291,1258480,286,1008669
2012-08,294,1221233,288,974689
2012-09,298,1206781,294,949970
2012-10,294,1164219,289,906146
2012-11,290,1135823,287,883694
2012-12,288,1043424,286,800855
2013-01,282,991867,279,748632
2013-02,273,974518,270,730961
2013-03,272,956544,269,718337
2013-04,271,944082,269,710556
2013-05,275,940853,273,700057
2013-06,270,975328,267,703383
2013-07,268,1020667,265,702718
2013-08,266,1033956,264,702415
2013-09,265,1009054,262,730456
2013-10,262,1070916,260,739617
2013-11,266,1206468,262,756530
2013-12,266,1283575,263,771164
2014-01,265,1302797,261,783425
2014-02,268,1322366,265,798099
2014-03,268,1335947,264,810089
2014-04,263,1340043,259,806065
2014-05,264,1333564,260,805696
2014-06,262,1301567,259,800705
2014-07,264,1254505,260,802392
2014-08,264,1213851,260,802619
2014-09,260,1190610,257,774933
2014-10,258,1108498,254,765304
2014-11,258,962425,255,751634
2014-12,254,915205,250,740769
2015-01,253,940469,251,728670
2015-02,258,996732,256,725518
2015-03,251,1047122,249,718831
2015-04,256,1069623,253,719564
2015-05,257,1095382,253,723944
2015-06,257,1115707,254,726158
2015-07,257,1139981,255,729348
2015-08,256,1161126,252,735249
2015-09,261,1206791,257,752264
2015-10,264,1232640,260,775875
2015-11,260,1252383,256,793122
2015-12,266,1245817,261,800014
2016-01,267,1230188,264,806140
2016-02,266,1184913,260,817403
2016-03,267,1175799,264,836392
2016-04,268,1275739,263,856241
2016-05,265,1285629,260,876232
2016-06,266,1298324,261,895334
2016-07,266,1303931,262,895957
2016-08,256,1318509,254,905148
2016-09,252,1301887,250,896453
2016-10,252,1311305,248,886069
2016-11,248,1355371,245,906513
2016-12,250,1418583,247,939693
2017-01,253,1475071,252,967773
2017-02,258,1552920,254,974350
2017-03,257,1559768,255,979438
2017-04,256,1512221,252,1012598
2017-05,252,1526475,248,1014810
2017-06,249,1595826,246,1024821
2017-07,252,1647478,248,1034629
2017-08,251,1690762,247,1032031
2017-09,253,1732388,249,1038743
2017-10,255,1791784,251,1048116
2017-11,252,1806097,247,1017928
2017-12,246,1794393,242,968618
2018-01,244,1797181,240,952030
2018-02,244,1725961,240,932460
2018-03,243,1706314,239,914802
2018-04,242,1652551,238,868787
2018-05,242,1650743,237,869883
2018-06,242,1561036,238,840562
2018-07,242,1515147,238,823199
2018-08,235,1460281,231,808846
2018-09,236,1417908,231,796208
2018-10,234,1340135,229,777506
2018-11,239,1281959,234,784085
