Month,S-Index,S-Index+bot
2005-01,62,62
2005-02,59,59
2005-03,67,67
2005-04,74,74
2005-05,77,77
2005-06,81,81
2005-07,95,95
2005-08,99,99
2005-09,106,106
2005-10,119,119
2005-11,113,113
2005-12,124,124
2006-01,122,122
2006-02,131,131
2006-03,140,140
2006-04,146,146
2006-05,152,152
2006-06,141,141
2006-07,141,141
2006-08,154,154
2006-09,154,154
2006-10,164,164
2006-11,166,166
2006-12,168,168
2007-01,179,179
2007-02,175,175
2007-03,186,186
2007-04,173,173
2007-05,194,194
2007-06,164,164
2007-07,159,159
2007-08,160,160
2007-09,163,163
2007-10,171,171
2007-11,172,172
2007-12,159,159
2008-01,166,166
2008-02,156,157
2008-03,167,168
2008-04,161,161
2008-05,168,168
2008-06,153,153
2008-07,150,150
2008-08,147,147
2008-09,151,152
2008-10,153,154
2008-11,143,143
2008-12,135,136
2009-01,151,154
2009-02,137,139
2009-03,139,142
2009-04,126,127
2009-05,124,127
2009-06,139,142
2009-07,130,132
2009-08,128,129
2009-09,129,130
2009-10,127,129
2009-11,124,126
2009-12,119,122
2010-01,127,129
2010-02,127,128
2010-03,131,134
2010-04,130,134
2010-05,122,126
2010-06,114,117
2010-07,115,118
2010-08,117,120
2010-09,115,119
2010-10,120,122
2010-11,116,117
2010-12,114,118
2011-01,117,120
2011-02,119,121
2011-03,118,120
2011-04,113,115
2011-05,113,117
2011-06,112,114
2011-07,107,110
2011-08,102,104
2011-09,106,108
2011-10,109,111
2011-11,111,114
2011-12,106,107
2012-01,106,107
2012-02,100,103
2012-03,103,104
2012-04,106,108
2012-05,102,104
2012-06,100,101
2012-07,94,96
2012-08,96,98
2012-09,98,99
2012-10,98,100
2012-11,94,96
2012-12,98,99
2013-01,104,105
2013-02,91,93
2013-03,92,93
2013-04,102,103
2013-05,97,99
2013-06,96,98
2013-07,93,94
2013-08,92,93
2013-09,95,96
2013-10,95,96
2013-11,101,102
2013-12,102,104
2014-01,100,103
2014-02,95,97
2014-03,100,102
2014-04,105,106
2014-05,103,105
2014-06,96,99
2014-07,97,100
2014-08,94,96
2014-09,90,92
2014-10,95,97
2014-11,97,100
2014-12,102,103
2015-01,93,94
2015-02,100,102
2015-03,97,98
2015-04,99,101
2015-05,103,105
2015-06,102,104
2015-07,104,105
2015-08,104,107
2015-09,104,106
2015-10,99,101
2015-11,104,105
2015-12,103,104
2016-01,111,112
2016-02,104,107
2016-03,101,103
2016-04,98,100
2016-05,107,109
2016-06,101,102
2016-07,99,101
2016-08,101,103
2016-09,99,102
2016-10,104,105
2016-11,106,108
2016-12,108,110
2017-01,112,113
2017-02,107,109
2017-03,108,110
2017-04,108,110
2017-05,105,106
2017-06,101,102
2017-07,101,104
2017-08,102,105
2017-09,96,97
2017-10,97,98
2017-11,94,98
2017-12,99,102
2018-01,104,108
2018-02,94,96
2018-03,101,103
2018-04,104,107
2018-05,102,103
2018-06,93,95
2018-07,97,100
2018-08,96,99
