Template,Count,Twinkle
Orphan,116257,yes
Notability,66680,yes
Update,19083,yes
Advert,18471,yes
Cleanup,13856,yes
Underlinked,12874,yes
COI,12827,yes
Tone,8477,yes
Lead too short,8383,yes
POV,5534,yes
Expert needed,4645,yes
Globalize,4340,yes
Cleanup rewrite,4265,yes
Essay-like,4224,yes
External links,4107,yes
Context,3840,yes
Peacock,3829,yes
Technical,2462,yes
In-universe,2459,yes
Overly detailed,2341,yes
Improve categories,2208,yes
Confusing,2191,yes
All plot,2158,yes
Autobiography,1865,yes
Disputed,1827,yes
Lead rewrite,1373,yes
Weasel,949,yes
Very long,859,yes
Copy edit,802,yes
Lead too long,802,yes
Over-quotation,722,yes
Close paraphrasing,506,yes
Lead missing,443,yes
Recentism,426,yes
Manual,386,yes
Condense,304,yes
Unfocused,267,yes
Non-free,145,yes
Incomprehensible,122,yes
Fiction,97,yes
Overlinked,96,yes
Uncategorized,37,yes
Long plot,4078,no
No plot,2781,no
Cleanup reorganize,2572,no
Like resume,2003,no
Missing information,1764,no
Cleanup-PR,1450,no
More plot,1082,no
POV check,777,no
Example farm,561,no
Cleanup HTML,535,no
Cleanup biography,495,no
Mileposts,486,no
Unbalanced,465,no
Inadequate lead,446,no
Lacking ISBN,409,no
Buzzword,310,no
MOS,309,no
Trivia,302,no
MOSLOW,300,no
Travel guide,285,no
Cleanup tense,269,no
Story,266,no
Cleanup gallery,255,no
Review,234,no
Self-contradictory,204,no
Cleanup school,179,no
Speculation,179,no
Duplication,172,no
Cleanup university,163,no
Famous,156,no
Further reading cleanup,141,no
Inappropriate person,126,no
Contradicts other,119,no
List to table,113,no
Time-context,107,no
Cleanup book,96,no
Generalize,96,no
Abbreviations,88,no
Local,86,no
Biblio,78,no
Coatrack,70,no
Image captions for cleanup,69,no
Repetition,69,no
USRD-wrongdir,67,no
Misleading,66,no
Specific,64,no
Obituary,62,no
Lead extra info,57,no
CIA,57,no
Research paper,49,no
Overcoloured,46,no
Lacking overview,43,no
Cleanup AfD,42,no
Kmposts,40,no
Category unsourced,37,no
Cleanup Congress bio,35,no
Cleanup infobox,34,no
Partisan sources,32,no
Too many photos,31,no
POV lead,28,no
Cleanup images,25,no
Verify spelling,23,no
Pro and con list,23,no
Geographical imbalance,22,no
Create list,20,no
Bad summary,20,no
Debate,18,no
Cleanup lang,18,no
Fiction trivia,15,no
Verbosity,12,no
Cherry-picked,11,no
Cleanup film,10,no
Game guide,10,no
Contradicts others,10,no
Unclear date,10,no
Dead end,9,no
Disputed list,8,no
Check category,6,no
Incoming links,6,no
Human-centric,5,no
POV title,4,no
Uncategorized stub,3,no
Schedule,3,no
Recategorize,3,no
Formula missing descriptions,3,no
List entry too long,1,no
Disputed category,1,no
New infobox,0,no
Metricate,0,no
Infobox requested,0,no
Image requested,0,no
Game trivia,0,no
Audio requested,0,no
More specific links,0,no
Single infobox request,0,no
Diagram requested,0,no
Map requested,0,no
